"","ID","MonthlyIncome"
"1",871,5820.0156858814
"2",872,3028.63082990116
"3",873,12923.4064131255
"4",874,2145.62675700457
"5",875,2756.93251425276
"6",876,4949.24720222848
"7",877,5492.23200694332
"8",878,2100.9338464288
"9",879,2628.05936099107
"10",880,12662.2374785846
"11",881,9657.15430427194
"12",882,2756.93251425276
"13",883,6037.28704512236
"14",884,5643.08250763524
"15",885,6103.53776419151
"16",886,5764.35678602866
"17",887,6085.45792907555
"18",888,5881.2043985183
"19",889,4545.1564258152
"20",890,2479.67906003116
"21",891,5022.65342246886
"22",892,9124.53479005117
"23",893,9196.04170869776
"24",894,5658.19607224958
"25",895,9689.1290295302
"26",896,9184.10760621604
"27",897,9068.90803342045
"28",898,15747.4666574477
"29",899,6457.39350824561
"30",900,3028.85774954159
"31",901,2765.65458918728
"32",902,5939.33565668615
"33",903,6581.98087433926
"34",904,2795.88171841598
"35",905,16538.1779512572
"36",906,5580.29766392316
"37",907,9148.84268409348
"38",908,5810.46407727323
"39",909,2609.85777253444
"40",910,2676.75092421953
"41",911,19133.7644105768
"42",912,2119.39386349701
"43",913,2712.95344687931
"44",914,12832.7301516429
"45",915,5997.47034448527
"46",916,4240.72087959087
"47",917,2888.17449750309
"48",918,6128.71047195311
"49",919,2526.99633768726
"50",920,2951.67853506882
"51",921,2711.65865709921
"52",922,2413.54776386522
"53",923,4482.37158210312
"54",924,3835.46307314558
"55",925,16942.4288106214
"56",926,2897.61576629126
"57",927,6299.6208532203
"58",928,13061.4085950955
"59",929,1880.14041494345
"60",930,2358.46471095693
"61",931,5874.56596149407
"62",932,12844.5758534626
"63",933,9029.95882925724
"64",934,2201.90129690256
"65",935,2413.54776386522
"66",936,2131.16097565749
"67",937,9221.73857957167
"68",938,8727.1427832737
"69",939,5010.26369406692
"70",940,2570.97540506071
"71",941,3092.36178710732
"72",942,9345.44703567078
"73",943,10007.5835064454
"74",944,5702.33853971812
"75",945,2422.33667548923
"76",946,5559.40114230402
"77",947,2594.81104460958
"78",948,2864.33885795423
"79",949,2158.34306766022
"80",950,5650.24059471659
"81",951,2396.16057329469
"82",952,6302.17835811542
"83",953,5944.77467703705
"84",954,2318.74890939219
"85",955,3839.27470777307
"86",956,7146.65275756159
"87",957,9976.10158848035
"88",958,2397.5327292544
"89",959,9458.40007505256
"90",960,20027.8657871602
"91",961,2726.0998264659
